condition_id,rpm,wind_speed_formula_mps,analysis_role
e0_0rpm,0,0.000000,stable_candidate
e1_20rpm,20,0.108230,stable_candidate
e2_40rpm,40,0.477230,stable_candidate
e3_50rpm,50,0.661730,stable_candidate
e4_60rpm,60,0.846230,viv_diagnostic
e5_70rpm,70,1.030730,stable_candidate
e6_80rpm,80,1.215230,stable_candidate
e7_90rpm,90,1.399730,stable_candidate
e8_100rpm,100,1.584230,stable_candidate
e9_110rpm,110,1.768730,stable_candidate
e10_120rpm,120,1.953230,stable_candidate
e11_140rpm,140,2.322230,stable_candidate
e12_160rpm,160,2.691230,stable_candidate
e13_180rpm,180,3.060230,stable_candidate
e14_200rpm,200,3.429230,stable_candidate
e15_220rpm,220,3.798230,stable_candidate
e16_240rpm,240,4.167230,stable_candidate
e17_260rpm,260,4.536230,stable_candidate
e18_280rpm,280,4.905230,stable_candidate
e19_300rpm,300,5.274230,stable_candidate
e20_320rpm,320,5.643230,high_wind_separate
